ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
AFR,STP,SEX_BTSX,3.9 [3.6-4.2],3.9,2021-06-21T19:02:09+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,BEN,SEX_FMLE,4.3 [4.0-4.6],4.3,2021-06-21T18:45:14+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,MUS,SEX_FMLE,5.0 [4.7-5.4],5.0,2021-06-21T18:48:09+02:00,NCD_CHOL_MEANTOTALCHOL_A
EMR,KWT,SEX_MLE,5.1 [4.8-5.5],5.1,2021-06-21T18:27:39+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,USA,SEX_MLE,5.2 [5.1-5.4],5.2,2021-06-21T18:29:24+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,FIN,SEX_FMLE,5.0 [4.8-5.1],5.0,2021-06-21T18:47:18+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,AZE,SEX_BTSX,4.6 [4.2-4.9],4.6,2021-06-21T19:02:00+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,DEU,SEX_FMLE,5.9 [5.8-6.1],5.9,2021-06-21T18:47:22+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,MOZ,SEX_MLE,3.8 [3.2-4.5],3.8,2021-06-21T18:28:05+02:00,NCD_CHOL_MEANTOTALCHOL_A
,WB_HI,SEX_MLE,4.8 [4.7-4.9],4.8,2021-06-21T18:17:12+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,SLB,SEX_BTSX,4.5 [4.3-4.6],4.5,2021-06-21T19:03:21+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,CIV,SEX_BTSX,4.0 [3.6-4.4],4.0,2021-06-21T19:03:57+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,MDA,SEX_BTSX,5.0 [4.7-5.3],5.0,2021-06-21T19:02:45+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,ATG,SEX_MLE,4.4 [3.9-4.9],4.4,2021-06-21T18:26:06+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,MKD,SEX_MLE,5.3 [4.8-5.8],5.3,2021-06-21T18:27:49+02:00,NCD_CHOL_MEANTOTALCHOL_A
SEAR,THA,SEX_MLE,4.9 [4.7-5.1],4.9,2021-06-21T18:29:09+02:00,NCD_CHOL_MEANTOTALCHOL_A
,AMR,SEX_MLE,5.0 [4.8-5.2],5.0,2021-06-21T17:36:34+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,SLE,SEX_FMLE,4.2 [3.6-4.8],4.2,2021-06-21T18:48:56+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,PLW,SEX_MLE,4.3 [3.9-4.6],4.3,2021-06-21T18:28:21+02:00,NCD_CHOL_MEANTOTALCHOL_A
EMR,EGY,SEX_FMLE,4.7 [4.4-5.0],4.7,2021-06-21T18:46:45+02:00,NCD_CHOL_MEANTOTALCHOL_A
EMR,SAU,SEX_MLE,4.5 [4.3-4.8],4.5,2021-06-21T18:28:40+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,JPN,SEX_MLE,4.8 [4.6-5.0],4.8,2021-06-21T18:27:33+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,LCA,SEX_MLE,4.3 [3.7-4.9],4.3,2021-06-21T18:28:36+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,CHN,SEX_FMLE,4.2 [4.0-4.4],4.2,2021-06-21T18:46:02+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,CHE,SEX_BTSX,5.7 [5.5-5.9],5.7,2021-06-21T19:02:27+02:00,NCD_CHOL_MEANTOTALCHOL_A
EMR,BHR,SEX_MLE,4.8 [4.2-5.5],4.8,2021-06-21T18:26:14+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,LUX,SEX_MLE,5.2 [4.8-5.5],5.2,2021-06-21T18:27:48+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,ZAF,SEX_BTSX,4.4 [4.2-4.6],4.4,2021-06-21T19:02:31+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,GRC,SEX_BTSX,5.1 [4.9-5.4],5.1,2021-06-21T19:02:44+02:00,NCD_CHOL_MEANTOTALCHOL_A
EMR,DJI,SEX_FMLE,4.5 [4.0-4.9],4.5,2021-06-21T18:46:40+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,LAO,SEX_MLE,4.0 [3.6-4.5],4.0,2021-06-21T18:27:41+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,URY,SEX_FMLE,5.1 [4.7-5.5],5.1,2021-06-21T18:49:40+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,CPV,SEX_MLE,3.9 [3.5-4.2],3.9,2021-06-21T18:26:34+02:00,NCD_CHOL_MEANTOTALCHOL_A
